,language,variant,sentence_len,sentence_pos,delta_surpmean,delta_surpsem,delta_surpstd
374,de,Efficient-VO,13,11,5.5788264,0.12737054,5.7061435976838935
375,de,Efficient-VO,13,12,4.083289,0.11557497,5.177707296784675
376,de,Efficient-VO,14,0,4.779475,0.11592184,4.937236431827903
377,de,Efficient-VO,14,1,5.37311,0.11048556,4.910085242022912
378,de,Efficient-VO,14,2,4.916718,0.101388104,4.505785843930981
379,de,Efficient-VO,14,3,4.781089,0.10186823,4.527123249138193
380,de,Efficient-VO,14,4,4.8761353,0.1081696,4.8071621536102125
381,de,Efficient-VO,14,5,4.7265725,0.10137389,4.5051543024795855
382,de,Efficient-VO,14,6,4.812831,0.10333619,4.5923610824159455
383,de,Efficient-VO,14,7,4.831223,0.11082632,4.925229500146196
384,de,Efficient-VO,14,8,4.74169,0.1056924,4.697072779886981
385,de,Efficient-VO,14,9,4.7273283,0.10505532,4.668760293684772
386,de,Efficient-VO,14,10,4.9215546,0.11064484,4.917164400378637
387,de,Efficient-VO,14,11,4.723758,0.10487962,4.660952323372735
388,de,Efficient-VO,14,12,5.286336,0.116255455,5.166505544004648
389,de,Efficient-VO,14,13,3.901768,0.106387414,4.72795994517256
390,de,Efficient-VO,15,0,4.753715,0.11362132,4.815185042613275
391,de,Efficient-VO,15,1,5.3116984,0.11462906,5.037161452598524
392,de,Efficient-VO,15,2,4.989085,0.10952617,4.8129247784551366
393,de,Efficient-VO,15,3,4.8171687,0.10501943,4.614884335795275
394,de,Efficient-VO,15,4,4.891181,0.11092543,4.874412015422621
395,de,Efficient-VO,15,5,4.9945035,0.1128547,4.959190453344713
396,de,Efficient-VO,15,6,5.038417,0.11493067,5.050415084129085
397,de,Efficient-VO,15,7,5.0719748,0.118722096,5.217022338596146
398,de,Efficient-VO,15,8,5.2415743,0.117767595,5.175078436629146
399,de,Efficient-VO,15,9,5.1477575,0.11641038,5.115438586493421
400,de,Efficient-VO,15,10,5.145748,0.11386758,5.003699824602565
401,de,Efficient-VO,15,11,4.8921137,0.11104956,4.879867369833391
402,de,Efficient-VO,15,12,4.9358783,0.11336479,4.981605498826262
403,de,Efficient-VO,15,13,5.4500985,0.12268029,5.390957953264124
404,de,Efficient-VO,15,14,4.117493,0.11586218,5.091348591200876
